N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.8,82.0,6.5,202.9,rice
85,58,41,21.7,80.3,7.0,226.6,rice
60,55,44,23.0,82.3,7.8,263.9,rice
74,35,40,26.4,80.1,6.9,242.8,rice
78,42,42,20.1,81.6,7.6,262.7,rice
69,37,42,23.0,83.3,6.9,251.0,rice
69,55,38,22.7,82.6,5.7,271.3,rice
94,53,40,20.2,82.8,5.7,241.9,rice
89,54,38,24.5,83.5,6.4,230.2,rice
68,58,38,23.2,83.0,6.3,221.2,rice
91,53,40,26.5,81.4,5.3,270.4,rice
90,46,42,23.9,81.4,5.9,264.4,rice
78,58,44,26.8,80.5,5.9,244.7,rice
93,51,35,24.0,82.3,6.3,185.2,rice
94,50,37,25.6,80.6,6.9,214.2,rice
60,39,36,24.2,81.1,5.5,225.4,rice
60,39,36,24.2,81.1,5.5,225.4,rice
70,40,40,22.0,80.0,6.0,200.0,rice
80,50,45,23.5,82.5,6.5,230.5,rice
85,55,42,25.0,81.0,7.0,240.0,rice
90,60,40,24.0,83.0,6.8,250.0,rice
