Country,Year,Crop,Area_Harvested_ha,Yield_hg_ha,Production_tonnes
India,2018,Rice,44380000,26590,118040000
India,2019,Rice,43660000,27050,118120000
India,2020,Rice,45070000,27440,124370000
India,2018,Wheat,29650000,33710,99870000
India,2019,Wheat,29320000,35330,103600000
India,2021,Rice,45000000,27000,120000000
India,2022,Rice,45000000,27000,120000000
India,2023,Rice,45000000,27000,120000000
India,2024,Rice,45000000,27000,120000000
India,2025,Rice,45000000,27000,120000000
India,2026,Rice,45000000,27000,120000000
India,2027,Rice,45000000,27000,120000000
India,2028,Rice,45000000,27000,120000000
India,2029,Rice,45000000,27000,120000000
India,2010,Rice,45000000,27000,120000000
India,2011,Rice,45000000,27000,120000000
India,2012,Rice,45000000,27000,120000000
India,2013,Rice,45000000,27000,120000000
India,2014,Rice,45000000,27000,120000000
India,2015,Rice,45000000,27000,120000000
